Pelicula,Recomendaciones
Gunbuster vs Diebuster Aim for the Top! The GATTAI!! Movie,"['Black Magic M-66', ""Gurren Lagann The Movie: Childhood's End"", 'Gurren Lagann The Movie: The Lights in the Sky Are Stars', 'Ghost in the Shell 2: Innocence', 'Looking for Mr. Goodbar']"
Wrestling For Jesus: The Tale of T-Money,"['Little Big Men', 'The Players Club', 'Life as a House', 'I Am Sam', 'Martian Child']"
One Man Up,"['Trees Lounge', 'Bob Roberts', 'The Acid House', 'The Adventures of Sebastian Cole', 'Portraits Chinois']"
The Purge: Anarchy,"['The Purge: Election Year', 'The Purge', 'Creep', 'Project Almanac', 'Lowriders']"
Words and Pictures,"['A Good Woman', 'Chhoti Si Baat', 'Worth Winning', 'Falling in Love Again', 'Beloved']"
Guardians of the Galaxy,"['Avengers: Age of Ultron', 'Iron Man 2', 'Iron Man 3', 'Captain America: The Winter Soldier', 'Ant-Man']"
The Strange Color of Your Body's Tears,"['The Brand New Testament', 'My Friend Victoria', 'Raw', 'Our Children', 'Les Barons']"
The Ballroom,"['Pure Country', 'Beauty and the Bastard', 'Guy and Madeline on a Park Bench', 'Shed No Tears', 'Brooklyn Babylon']"
Jimmy's Hall,"['Oranges and Sunshine', 'Route Irish', 'Bis zum Ellenbogen', 'Tickets', 'Garage']"
The Expendables 3,"['The Expendables 2', 'Olympus Has Fallen', 'Outside Ozona', 'Shadrach', 'Undisputed II: Last Man Standing']"
Goliyon Ki Raasleela Ram-Leela,"['Bajirao Mastani', 'Sanam Teri Kasam', 'Mary Kom', 'Vicky Donor', 'Tanu Weds Manu Returns']"
Ek Villain,"['Lootera', 'Udta Punjab', 'LSD: Love, Sex aur Dhokha', 'To the Fore', 'Paap']"
Kites,"['Prefontaine', ""A Pyromaniac's Love Story"", 'The Joy Luck Club', 'Bound by Honor', 'Mystery, Alaska']"
Monty Python Live (Mostly),"['The Confessions of Thomas Quick', 'The King of Kong', 'Metallica: Through the Never', 'A Prairie Home Companion', 'Miracle in Cell No. 7']"
Blood in the Mobile,"['The Yes Men Are Revolting', 'As Far As My Feet Will Carry Me', 'Killing Is My Business, Honey', 'Above Us Only Sky', 'Wings of Hope']"
Hide Your Smiling Faces,"['The Boys of St. Vincent', 'Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land']"
A Most Wanted Man,"['Remainder', 'Where Is Fred?', 'Our Kind of Traitor', '00 Schneider - Jagd auf Nihil Baxter', 'Charlotte Gray']"
Molly Maxwell,"['Soft Shell Man', 'Heavy Metal', 'Little Criminals', 'The Pearl Color', 'Gods']"
Wish I Was Here,"['Tyson', 'Extraordinary Measures', 'What the Day Owes the Night', 'Blood Father', 'Burnt']"
Sandakan No. 8,"['Tales of a Golden Geisha', 'Detroit Metal City', ""A Taxing Woman's Return"", 'Lone Wolf and Cub: Baby Cart in the Land of Demons', 'Ballad']"
The Pursuit of Unhappiness,"[""Wer's glaubt wird selig"", 'Happy People: A Year in the Taiga', 'Exit Marrakech', 'Eight Miles High', 'Rosalie Goes Shopping']"
Sorrow and Joy,"['Facing the Truth', 'Worlds Apart', 'Adult Camp', 'R', 'Johan Falk: GSI - Gruppen för särskilda insatser']"
Family United,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Gracie's Choice,"['Indictment: The McMartin Trial', 'Lucy', ""Gracie's Choice"", 'Restless Virgins', '3: The Dale Earnhardt Story']"
Father and Guns,"['Lucky Break', 'The Wrong Guy', 'Drunken Tai Chi', 'Kung Phooey', 'My Wife Is a Gangster']"
Call of the Wild,"['The Check Is in the Mail...', 'Beautiful Boy', 'Night of the Living Dead', 'Too Scared to Scream', 'Bitcoin: The End of Money as We Know It']"
The Trip to Italy,"['The Trip to Spain', 'Resurrection Man', 'Jawbone', 'Mona Lisa Smile', 'The Trip']"
Food,"['Fallen Art', 'Is It College Yet?', 'Darkness/Light/Darkness', 'South Park: Imaginationland', 'Food']"
For a Woman,"['High Tension', '24 Days', 'The Big Picture', 'I Love You Phillip Morris', 'Arthur and the Invisibles']"
Two Lives,"['Alphabet', 'Return to Homs', 'The Pearl Color', 'Gods', 'The Art of Loving. Story of Michalina Wislocka']"
Maidentrip,"['Thrill Ride: The Science of Fun', 'Morning of the Earth', 'Craigslist Joe', 'King Lines', 'Long Way Round']"
Kidnapped for Christ,"['The Eyes of Tammy Faye', 'Aileen: Life and Death of a Serial Killer', 'The Five Obstructions', 'Tarnation', 'For Love or Country: The Arturo Sandoval Story']"
8-Ball,"['R', 'Johan Falk: De 107 patrioterna', 'Johan Falk: Kodnamn Lisa', 'Johan Falk: Barninfiltratören', 'Worlds Apart']"
Maata meren alla,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Step Up All In,"['Step Up 2: The Streets', 'Step Up Revolution', 'Step Up', 'Remember Me', 'Keeping Mum']"
Val Lewton: The Man in the Shadows,"['Val Lewton: The Man in the Shadows', 'Tom and Jerry: The Fast and the Furry', 'Andersonville', 'Hamlet', 'Fallen']"
C.C. and Company,"['Weirdsville', 'Down Terrace', 'C.C. and Company', 'Adhurs', 'Atharintiki Daaredi']"
The Rover,"['Snowtown', 'The Daughter', 'In Her Skin', 'Griff the Invisible', 'Arrival']"
Slaying the Badger,"['O.J.: Made in America', 'Once Brothers', 'Queen of Katwe', 'Catwalk', 'Unzipped']"
Get on Up,"['Cry-Baby', 'Apollo 13', 'Closet Land', 'The Paper', 'Liar Liar']"
1,"['Pope Joan', 'Metallica: Through the Never', 'Let Me In', 'Flatland', 'Naked Among Wolves']"
The Suspect,"['Fierce Creatures', 'Paruthiveeran', 'Commitment', 'Crazy in Alabama', 'Drifter']"
The Dog,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Magic in the Moonlight,"['Blue Jasmine', 'The Mack', 'Café Society', 'Death Line', 'Irrational Man']"
Impudent Girl,"['Deadly Circuit', 'Possession', 'Hotel America', 'Fear City: A Family-Style Comedy', 'Family Resemblances']"
The Thirty Nine Steps,"['The Thirty Nine Steps', 'The Cat', 'Приключения Шерлока Холмса и доктора Ватсона: Двадцатый век начинается', 'X: Past Is Present', 'The Man in 3B']"
And While We Were Here,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Winter Sleep,"['The Past', 'The Salesman', 'Once Upon a Time in Anatolia', 'Boyhood', 'Shadows in Paradise']"
In Order of Disappearance,"['A Second Chance', 'Lilya 4-ever', 'Show Me Love', 'A Somewhat Gentle Man', 'The Commune']"
Housebound,"['Behind the Mask: The Rise of Leslie Vernon', 'Crush the Skull', 'Autopsy', 'Two Evil Eyes', 'Habit']"
Zarafa,"['Fear(s) of the Dark', 'The Red Turtle', 'The Secret of the Grain', 'Priceless', 'One Man and his Cow']"
The Hundred-Foot Journey,"['The Help', 'The Best Exotic Marigold Hotel', 'The Beaver', 'Contagion', 'Men in Black 3']"
Batman: Assault on Arkham,"['Superman vs. The Elite', 'Batman: The Dark Knight Returns, Part 1', 'Batman: The Dark Knight Returns, Part 2', 'Batman: Return of the Caped Crusaders', 'Superman: Unbound']"
Where the Trail Ends,"['Scream of Stone', 'The Great Alone', 'Thrill Ride: The Science of Fun', 'Morning of the Earth', 'Craigslist Joe']"
Rituals,"['My Bloody Valentine', 'The Apprenticeship of Duddy Kravitz', 'Murder by Decree', 'Happy Birthday to Me', 'Death Weekend']"
The Dragon Missile,"['Return to the 36th Chamber', 'The Dragon Missile', 'Disciples of the 36th Chamber', 'Five Element Ninjas', 'The Clan of the White Lotus']"
The Den,"['Seven Days', 'Autopsy', 'Two Evil Eyes', 'Habit', 'The Conspiracy']"
Zero Motivation,"['Adam Resurrected', 'Crying Freeman', 'True Romance', 'Freeway', 'The Green Butchers']"
Free Samples,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
I'll Follow You Down,"['Cube', 'The Trotsky', 'Cairo Time', ""Mr. Magorium's Wonder Emporium"", 'Paris, France']"
Rob the Mob,"[""Tanya's Island"", 'Boy A', 'Squeeze', 'American Heart', 'Better Luck Tomorrow']"
The Old Lady and the Pigeons,"['Ciao, Professore!', 'Bread and Chocolate', ""Everybody's Famous!"", 'Dying of Laughter', 'What Will You Do When You Catch Me?']"
The Giver,"['Aliens of the Deep', 'Sicko', 'Silver Linings Playbook', 'Harsh Times', 'Chasing Mavericks']"
Only God Knows,"['Beautiful', 'Absolution', 'The Perfect Murder', 'Foreign Land', 'A Snake of June']"
The Pretty One,"['Echoes Of War', 'Summer of 8', ""Angela's Ashes"", 'Fried Green Tomatoes', 'Melvin and Howard']"
Unborn in the USA: Inside the War on Abortion,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Maniacts,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Cane Toads: The Conquest,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
So Much So Fast,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
What About Dick?,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Let's Be Cops,"['Little Murders', 'Kidco', 'Bulworth', ""White Men Can't Jump"", 'Breaking Away']"
Far Out Isn't Far Enough: The Tomi Ungerer Story,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
You and Me,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Antboy: Revenge of the Red Fury,"['Superclásico', 'Dark Horse', 'Submarino', 'Prague', 'Mifune']"
Appleseed Alpha,"['Never Back Down: No Surrender', 'Iria: Zeiram the Animation', 'Patlabor 2: The Movie', 'Broken Blade: Book Six - Enclave of Lamentations', 'The Cathedral']"
Switch,"['Female Agents', 'Intimate Enemies', 'La Bande du drugstore', 'Coco Before Chanel', 'Dheepan']"
The Inbetweeners 2,"['The Inbetweeners 2', 'Frankie Boyle - Live - The Last Days of Sodom', 'Micky Flanagan: Live - Back In The Game Tour', 'Riff-Raff', 'We Think the World of You']"
Jesse Stone: Thin Ice,"['Jesse Stone: Thin Ice', 'Jesse Stone: Night Passage', 'Jesse Stone: Stone Cold', 'Jesse Stone: Sea Change', 'Jesse Stone: Death in Paradise']"
State Affairs,"['Our Day Will Come', 'Nicostratos the Pelican', 'In the Beginning', 'The Patience Stone', 'Buried']"
My Summer Story,"['Rollo and the Spirit of the Woods', 'My Summer Story', 'Soccer Dog 2: European Cup', 'Chestnut: Hero of Central Park', 'Little Monsters']"
Make Your Move,"['Sunny', 'Ode to My Father', 'Barking Dogs Never Bite', 'A Man Who Was Superman', 'My Annoying Brother']"
Sin City: A Dame to Kill For,"['Standing Up', 'Sin City', 'Heaven', 'Fresh', ""Things to Do in Denver When You're Dead""]"
How to Be a Man,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
If I Stay,"['Me Before You', 'Of Mice and Men', 'Fame', 'CrissCross', 'One Is a Lonely Number']"
WWE: The Rise & Fall of ECW,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
All the Way Home,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
The Other F Word,"['After Tiller', 'These Birds Walk', '28 Hotel Rooms', 'We Need to Talk About Kevin', 'The Messenger']"
Barquero,"['Outlaw Justice', 'Zachariah', 'Barbarosa', 'Support Your Local Gunfighter', 'Belle Starr']"
Happy New Year,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
"Two Days, One Night","['The Son', 'Our Children', 'The Kid with a Bike', 'Rust and Bone', 'Wild Life']"
Losers' Club,"['Trees Lounge', 'Bob Roberts', 'The Acid House', 'The Adventures of Sebastian Cole', 'Portraits Chinois']"
Lights Out,"['I Drink Your Blood', 'Possessed', 'Luther the Geek', 'The Death King', 'Outer Space']"
2AM: The Smiling Man,"['Two Evil Eyes', 'Habit', 'The Conspiracy', 'Undocumented', '2AM: The Smiling Man']"
"If Footmen Tire You, What Will Horses Do?","['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Coherence,"['Flashbacks of a Fool', 'Cashback', 'Liquid Sky', 'ABE', 'Haunters']"
Redwood Highway,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
A Birder's Guide to Everything,"['Learning to Drive', 'No Skin Off My Ass', 'Seven Pounds', 'The Pursuit of Happyness', 'The Taking of Pelham 1 2 3']"
Beautiful,"['Absolution', 'The Perfect Murder', 'Only God Knows', 'Murderer', 'Spider Forest']"
King's Faith,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Waiting for Armageddon,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
"As Above, So Below","['Crimson Peak', 'Halloween II', 'The Serpent and the Rainbow', 'Ghost Story', 'Play It As It Lays']"
"Peace, Propaganda & the Promised Land","['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
The One I Love,"['13 Sins', 'The Mars Underground', 'The Postman', 'Cold Comfort Farm', 'Next Stop Wonderland']"
Killing Us Softly 4: Advertising's Image Of Women,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Headshot,"['Point of No Return', 'The Learning Curve', 'Freeze Frame', 'The Clockmaker of St. Paul', 'Street Thief']"
El niño,"['Cell 211', 'To Steal from a Thief', 'Hierro', 'Kiki, Love to Love', 'Kidnapped']"
The Red Elvis,"['Vessel', 'Werner - Beinhart!', 'Last Exit to Brooklyn', 'Catwalk', 'Unzipped']"
The Codes of Gender,"['Human', 'Cosmos Laundromat', 'The Deserted Station', 'Big Buck Bunny', 'Iron Island']"
The Guest,"[""You're Next"", 'Faults', 'The Greatest Movie Ever Sold', ""The Devil's Candy"", 'Thunder Soul']"
To Be Takei,"['Foolish', 'Flight of the Doves', 'Regret', 'Little Crumb', 'Razend']"
A Guy and a Gal,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
The Beast Must Die,"['The Wicker Man', 'The House That Dripped Blood', 'And Now The Screaming Starts', 'The Mind of Mr. Soames', 'Nickelodeon']"
Vinyl,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Oklahoma Crude,"['Bless the Beasts & Children', 'Silverado', 'The Big Chill', 'Big Daddy', '28 Days']"
Nixon by Nixon: In His Own Words,"['Friends of God: A Road Trip with Alexandra Pelosi', 'An Apology to Elephants', 'Hacking Democracy', 'Hello Ladies: The Movie', 'Amy Schumer: Live at the Apollo']"
2081,"['Origin', '5ive Days to Midnight', 'Hooked on the Game', 'Portal: No Escape', 'ABE']"
Care Bears To the Rescue,"['Lotte from Gadgetville', 'Scooby-Doo Meets the Boo Brothers', 'The Journey to Melonia', 'Back to School with Franklin', 'The Land Before Time X: The Great Longneck Migration']"
The Sell Out,"['Snake-Crane Secret', 'Invisible Target', 'Aakrosh', 'The Shaolin Temple', 'Magadheera']"
"Things I Like, Things I Don't Like","['Anvil! The Story of Anvil', 'Stefano Quantestorie', ""L'associé"", 'Dream with the Fishes', 'All I Wanna Do']"
Return to Homs,"['Alphabet', 'Two Lives', 'The Bunker', 'Rivers and Tides', 'The White Sound']"
Before I Go to Sleep,"['The East', 'Adult Life Skills', 'Journey to the End of the Night', 'Cyrus', 'The Expendables']"
Pride,"['The Ruling Class', '1987', 'The Big Store', 'Hera Pheri', 'A Good Woman']"
The Drop,"['Slums of Beverly Hills', 'The Impostors', 'The Brothers McMullen', 'Enough Said', 'Notorious']"
"20,000 Days on Earth","['My Ain Folk', 'Winstanley', 'My Childhood', 'American Honey', 'Caravaggio']"
Captivated: The Trials of Pamela Smart,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
The Skeleton Twins,"['Tangerine', ""Asperger's Are Us"", 'Take Me', 'Safety Not Guaranteed', 'The Overnight']"
Where The Dead Go to Die,"['One Night in A City', 'Dolls', 'Queens Of Evil', 'The Woman Who Powders Herself', 'Twilight Online']"
Beautiful Losers,"['Kurt Cobain: About a Son', 'The New Watchdogs', 'Enter the Battlefield: Life on the Magic - The Gathering Pro Tour', 'Page One: Inside the New York Times', 'Cowspiracy: The Sustainability Secret']"
"20,000 Leagues Under the Sea","['The Wild Hunt', 'Hooked on the Game', 'Portal: No Escape', 'The Hitch Hikers Guide to the Galaxy', 'Prospect']"
Aftermath: Population Zero,"['I Know What I Saw', 'Behind the Planet of the Apes', 'The Alien Saga', 'Carnage: Swallowing the Past', ""Daft Punk's Electroma""]"
The Groundstar Conspiracy,"['Sin Nombre', 'Fletch', 'Empire', 'Frenzy', 'Mansfield Park']"
Tattoo Nation,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
American Dreams in China,"['Sunflower', 'New Police Story', 'Shaolin', 'Bodyguards and Assassins', 'Mission: Impossible III']"
The Maze Runner,"['Maze Runner: The Scorch Trials', 'The Fault in Our Stars', 'The Heat', 'Dawn of the Planet of the Apes', 'Logan']"
Camp X-Ray,"['Step Into Liquid', 'The Comedy', 'Joe', 'Maze Runner: The Scorch Trials', 'Donald Cried']"
Hori Smoku Sailor Jerry,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Below Sea Level,"['Bilitis', 'This Is Where I Leave You', 'The New Watchdogs', 'Enter the Battlefield: Life on the Magic - The Gathering Pro Tour', 'Table 19']"
Marilena de la P7,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
"Uncle Marin, the Billionaire","['The Moromete Family', 'The Last Bullet', 'The Duel', 'Kiuleandra', 'Pro Dia Nascer Feliz']"
The Obama Deception,"['Buddy goes West', 'The Secret of Roan Inish', 'Glorious Technicolor', 'The New Watchdogs', 'Enter the Battlefield: Life on the Magic - The Gathering Pro Tour']"
Homevideo,"['3 Zimmer/Küche/Bad', 'Generation War', 'The Tunnel', 'Wolfsburg', 'The Boys of St. Vincent']"
A Walk Among the Tombstones,"['The Punisher: Dirty Laundry', 'The Voices', 'The Grey', 'The Ides of March', 'Freedom Writers']"
The Galapagos Affair: Satan Came to Eden,"['If a Tree Falls: A Story of the Earth Liberation Front', 'The War Room', 'The Atomic Cafe', 'Inside Deep Throat', 'Jonestown: The Life and Death of Peoples Temple']"
My Old Lady,"['Hitchcock/Truffaut', 'Keep the Aspidistra Flying', 'Rams', 'Confetti', 'Persuasion']"
1971,"['The Atomic Cafe', 'Inside Deep Throat', 'Jonestown: The Life and Death of Peoples Temple', 'Of Time and the City', 'Otaku']"
700 Sundays,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Laggies,"['The Escape', 'The Whole Truth', 'Adult World', 'Spotlight', 'The Ramen Girl']"
God Help the Girl,"['Serenity', 'The Sixth Sense', 'Unbreakable', 'Munich', 'Battle For Haditha']"
What We Did on Our Holiday,"['Dirty 30', 'A Long Way Down', 'Shoot the Messenger', 'Confetti', 'Beyond the Sea']"
Fall of the Republic: The Presidency of Barack H. Obama,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Force Majeure,"['Turn Me On, Dammit!', 'I Belong', 'The Man Who Loved Yngve', ""I'm the One You Want"", 'North']"
Beste Zeit,"[""No Man's Land"", ""Teheran '43"", 'The Man in the Glass Booth', 'Merantau', 'Night of the Running Man']"
The Pearl Color,"['Gods', 'The Art of Loving. Story of Michalina Wislocka', 'The Broken Landlord', 'Night and Day', 'Boy A']"
